zcrtname,zstate1,zcity3
China,heilongjiang,pingfangzhen pingfang
China,hebei,baoxuxiang
China,jiangsu,qintongzhen
China,shandong,shangyezhen
China,shaanxi,gaoyan
China,Guangdong,Shapingzhen Jiangmen
China,Shanxi,Huozhou
China,guangxi zhuang,huanglianzhen
China,Sichuan,Bazhou Qu
Unknown,Guangxi Zhuang,Hezhou
China,shanxi,xiangyuan xian
China,guangdong,heping county
China,guizhou,wudang district
China,sichuan,fenghuangxiang zigong
China,henan,yigouzhen
China,jiangsu,qindongzhen
China,hubei,dongjinzhen
China,guangdong,qingxin qu
China,liaoning,gushanzhen dandong
Unknown,Jiangsu,Dingshuzhen
China,jiangxi,diping
China,sichuan,longmenxiang ya\u0027an
China,shanxi,zhanglanzhen
China,hebei,qigezhuangzhen
China,heilongjiang,dorbod mongolzu aut county
China,sichuan,ayue
China,shanghai,datuanzhen
China,shanghai,hongqiao
China,shandong,zhujiezhen
China,sichuan,pengxi county
China,guangdong,xin an subdistrict
China,shandong,ju county
China,henan,tangyang chengguanzhen
China,chongqing,xiangkou
China,anhui,dongxixixiang
China,hebei,yu county
China,xinjiang uygur,kizilsu
China,inner mongolia,ergun city
China,yunnan,shiping
China,shanxi,xiaxian
China,shaanxi,hengshanzhen
China,fujian,hubincun
China,Shanxi,Taigu Xian
China,jilin,shuangchengbaozhen
China,Shandong,Yanggu
China,anhui,guchengzhen bozhou
China,jiangxi,baimuxiang
China,shaanxi,hujiayingzhen
China,gansu,xinning
China,shandong,yuanshangzhen
China,zhejiang,xinjiezhen
China,hunan,hanchangzhen
China,sichuan,chongzhou
China,guangdong,gonghezhen
China,shandong,yulizhen rizhao
China,tianjin,chenzuizhen
China,hunan,anle
China,xinjiang uygur,jinghezhen
China,jiangxi,daban
China,sichuan,fenghuang
China,jilin,tiechangzhen
China,guangxi zhuang,baideng
China,henan,weishi xian
China,beijing,sujiatuoxiang
China,henan,shanhuoxiang
China,hubei,baimiao
China,gansu,pingchuan qu
China,shandong,nanshuzhen
China,shaanxi,qianyang
China,hubei,liuhezhen
China,gansu,liuhexiang
China,Hubei,Huangpi Qu
China,yunnan,yiliang xian zhaotong
China,jiangxi,le an xian
China,shaanxi,chunhua
China,shanxi,wenshui
China,shanxi,zuoyun county
China,Zhejiang,Duqiaozhen
China,jiangxi,fuliang county
China,heilongjiang,boli county
China,jiangxi,linchuan qu
China,Yunnan,Simao Qu
China,hunan,xiehexiang
China,shaanxi,yan\u0027anshi
China,jiangsu,luzhizhen
China,inner mongolia,wushenzhao sumu
China,henan,luyi xian
China,hebei,beizheng
China,hunan,futianpuxiang
China,Gansu,Suzhou
Unknown,Jiangxi,Longnanzhen
China,Shandong,Cangshan
China,shandong,gaolaojiazhen
China,guizhou,anlong xian
China,fujian,dongshizhen
China,shandong,yuanquanzhen
China,hebei,dazidian
China,anhui,xiejiaji district
China,hubei,juanshui
China,fujian,hushangxiang
China,shandong,chaoshuizhen
China,inner mongolia,sonid youqi
China,jiangsu,beitang qu
China,xinjiang uygur,wuzunzhen
China,jiangsu,yongfengzhen yancheng
China,guizhou,shangsizhen
China,henan,jiaxian
China,hubei,xinmiaozhen
China,shanxi,cangdi
China,henan,youjitunxiang
China,jiangxi,aoxizhen
China,anhui,jinxizhen
China,Zhejiang,Nanxun Qu
China,shanxi,daning
China,xinjiang uygur,bohu xian
China,shanxi,lanxian county
China,shanghai,fengxian qu
China,sichuan,qinglongzhen ziyang
China,shanxi,longgangzhen
China,guizhou,faqingxiang
China,Jiangsu,Liyang
China,gansu,zhenyuan
China,guizhou,wudang qu
China,ningxia hui,lijunzhen
Unknown,Xinjiang Uygur,Xinhezhen
China,shaanxi,dongjiayingzhen
China,hebei,daicheng
China,hebei,suqiaozhen
China,henan,peiyingxiang
China,No Data,anning
China,Shanghai,Xinzhuangzhen
China,Jiangsu,Fengxian
China,shanxi,duandianxiang
China,henan,guanyinsizhen
China,guangdong,baishan
China,shandong,lingcheng qu
China,fujian,yongding qu
Unknown,Anhui,Huanggang
China,hubei,taojiahexiang
Unknown,Beijing,Pinggu Qu
China,shandong,hongshanzhen
China,Shanxi,Zhangzi
China,Tibet,Gar Xian
China,hebei,qinglong manzu aut county
China,liaoning,liuhegouzhen
China,heilongjiang,yi\u0027anzhen
China,guizhou,maigexiang
China,guizhou,weng\u0027an county
China,Guizhou,Fengyizhen
China,liaoning,tiedong
China,hunan,nanqiaoxiang
China,anhui,xingfuxiang
China,zhejiang,sanbeizhen
China,guangxi zhuang,shagangzhen
China,shaanxi,heyang county
China,hebei,nanhe county
China,hebei,yongfuzhuangxiang
China,hebei,wangtanzhen
China,henan,mianchi chengguanzhen
China,guangxi zhuang,qinnan qu
China,guangxi zhuang,gongcheng yaozu zizhixian
China,heilongjiang,shuangcheng
China,sichuan,jianhua
China,shandong,dongpingzhen tai an
China,fujian,qingyang
China,fujian,jinan qu
China,zhejiang,shachengzhen
China,guangxi zhuang,luoxiuzhen laibin
China,guangdong,yuncheng qu
China,shandong,baima xicun
China,guangdong,shipaizhen jieyang
China,hebei,yuanshi xian
China,guangdong,anpuzhen
China,guangdong,lianping xian
China,jiangsu,baotaqiao
China,jiangxi,sanbaishanzhen
China,jiangsu,jianhu xian
China,henan,yanshi chengguanzhen
China,liaoning,shuangta qu
China,shanghai,chaobang
China,sichuan,tashuizhen ziyang
China,guizhou,guiding
China,heilongjiang,erkeqianzhen
China,henan,huli
China,hunan,cangshuipuzhen
China,jiangxi,mengshanxiang
China,anhui,dulouzhen
China,guangdong,daqiaozhen renhua
China,liaoning,shuangtaizi qu
China,henan,zhukouzhen
China,anhui,yeshanzhen
China,fujian,majiazhen
China,zhejiang,gaohongzhen
China,hubei,chengguanzhen fangxian
Unknown,Hebei,Dongguangzhen
Unknown,Guangdong,Leizhou
China,yunnan,yunfu
China,zhejiang,shenjiamen
China,henan,miaoxianxiang
China,Hebei,Weichang Manzu Mengguzu Zizhixian
China,zhejiang,zhangqizhen
China,hunan,yongfeng
China,xinjiang uygur,yanqizhen
China,sichuan,shiliangxiang nanchong
China,jiangsu,chengxi
China,sichuan,longguixiang
China,guizhou,tianbaqiaozhen
China,hebei,shenxian
China,Henan,Minquan Xian
China,hebei,wangjunxiang
China,guangxi zhuang,taipingzhen chongzuo
China,jiangxi,dayuanzhen
Unknown,Henan,Huazhou
China,gansu,jingning chengguanzhen
China,No Data,fuzhou
China,Sichuan,Taipingzhen Dazhou
China,hainan,ledong
China,jiangxi,jinshixiang
China,guizhou,yachuanzhen
China,hunan,datuozhen
China,sichuan,qingbaijiang
China,jiangsu,daxingzhen nantong
China,jilin,chaoyangzhen tonghua
China,yunnan,zhujiezhen
China,anhui,taihe xian
China,anhui,yongqiao qu
China,shandong,anjiazhuangzhen
China,shanxi,fengchengxiang
China,fujian,lanchengxiang
China,henan,nanzhaizhen
China,Henan,Xixian
China,zhejiang,kaihua xian
China,Jiangsu,Pukou Qu
China,tibet,gyantse xian
China,hubei,lianghekouzhen
China,chongqing,xipengzhen
China,guizhou,longquanzhen qiandongnan
China,hebei,wangdu
China,sichuan,wuzhixiang
China,hebei,xipinglexiang
China,guangdong,jitianzhen
China,hebei,jingxing mining area
China,guangxi zhuang,matouzhen baise
China,Xinjiang Uygur,Changji
China,gansu,qingshui xian
China,hebei,qizhouzhen
China,jiangsu,langshanzhen
China,sichuan,dongtaixiang
China,guizhou,linkouzhen
China,jilin,wangouzhen
China,anhui,gaoshi
China,hunan,gaochong
China,yunnan,ningerzhen
Unknown,Hubei,Yezhouzhen
China,jiangxi,dakeng
China,shandong,hongxuzhen
China,No Data,chitushan
China,yunnan,lushui xian
China,beijing,shangzhuangzhen
China,gansu,tanchang xian
China,fujian,xiayangzhen longyan
China,shandong,dingshui
China,fujian,huaan county
China,hunan,baizhang
China,henan,xinglongxiang
China,jiangxi,fuliangzhen
China,gansu,baiyang
China,hebei,nanhetouxiang
China,hebei,xiheying
China,henan,tieshanxiang
Unknown,Sichuan,Jinyuanzhen
China,guangxi zhuang,liujiang
Unknown,Guizhou,Jinhuazhen Guiyang
China,guangdong,xiaolan
China,Inner Mongolia,Dongsheng Qu
China,gansu,guazhou county
Unknown,Zhejiang,Baiguan
China,inner mongolia,nuanshuixiang
China,gansu,heicheng
China,chongqing,shapingzhen dianjiang
China,henan,fengquan district
China,liaoning,xinglongzhen shenyang
China,shaanxi,fufeng county
China,hebei,caogoubaoxiang
China,Sichuan,Longquanyiqu
China,jilin,enyuxiang
China,fujian,tancheng
China,hebei,guyuan
China,xinjiang uygur,kunyu
China,gansu,jingyuan
China,fujian,mawei qu
China,heilongjiang,xigemuxiang
China,Shanxi,Hongtong Xian
China,henan,dalinzhen
China,jiangsu,yuduozhen
China,hunan,wangcheng qu
China,fujian,youjucun
China,gansu,jingchuan
China,jilin,jian
China,shanxi,nanyang
China,guizhou,zheng an county
China,hubei,wuchang
China,shandong,qiaoguanzhen
China,heilongjiang,lishu district
Unknown,Liaoning,Zhuanghe
China,jiangxi,poyangzhen
China,henan,yanminghuzhen
Unknown,Anhui,Guoyang
China,hebei,liugouzhen
China,shandong,yuncheng xian
China,hunan,kongkeshuxiang
China,shaanxi,yanchang county
China,qinghai,tongren
Unknown,Heilongjiang,Heihe
China,hainan,wuzhishan
China,Hebei,Luan Xian
China,hebei,suichengzhen
China,shandong,mengyinzhen
Unknown,Xinjiang Uygur,Kaiganqixiang
China,Xinjiang Uygur,Wushizhen
China,guangdong,shaxizhen chaozhou
China,hebei,zhengzhangzhen
China,hunan,bailudongzhen
China,Shandong,Jimo
China,shaanxi,wangyi qu
China,jiangsu,fuqiang
China,guizhou,duipozhen
China,Beijing,Changping
China,shandong,chengguanzhen shenxian
China,inner mongolia,alongshanzhen
Unknown,Guangxi Zhuang,Cencheng
China,Sichuan,Xunchangzhen
China,sichuan,gaopingzhen deyang
China,jiangsu,dazhong
China,shandong,lincheng neighborhood
China,jiangsu,wanggouzhen
China,guangxi zhuang,xincheng xian
China,Zhejiang,Hechengzhen
China,hubei,pinglin
Unknown,Shandong,Dongcun
China,Guangdong,Jiazizhen
China,guangdong,dongzhoucun
China,inner mongolia,shuangshengzhen chifeng
China,guangxi zhuang,cangwu county
China,sichuan,dayan
China,jiangsu,bajuzhen
China,hebei,pingxiang county
China,jiangxi,sanxingzhen
China,guangxi zhuang,leye xian
China,guangdong,chencunzhen foshan
China,No Data,datong
China,tibet,nagqu
China,jilin,tonghua county
China,hunan,yongyixiang
China,hunan,lianshanxiang
China,hunan,yudepuzhen
China,guangxi zhuang,gunian
China,yunnan,nanjian yizu aut county
China,Gansu,Jiayuguan
China,chongqing,liangping xian
China,jilin,sanchahezhen
China,anhui,longshanxiang hefei
Unknown,Guangdong,Yangchun
China,henan,zhuanlouxiang
China,henan,banqiaozhen zhoukou
China,guizhou,gaoshan
China,Henan,Chengguan
China,jilin,beijing
Unknown,Guangxi Zhuang,Taiping
Unknown,Shandong,Fuzhuang
Unknown,Jilin,Ningjiang Qu
China,sichuan,quyagongxiang
China,jiangxi,luxi xian
China,Anhui,Huayangzhen Xuancheng
China,sichuan,sanxizhen guang an
Unknown,Sichuan,Wenjiangzhen
China,Inner Mongolia,Kailuzhen
China,Xinjiang Uygur,Yecheng Xian
China,yunnan,jinbizhen
China,hebei,xijiujixiang
China,shaanxi,beijingtou
China,shanxi,xiangning
Unknown,Fujian,Shishi
China,shanxi,pingyao xian
China,hebei,fuping
China,sichuan,xichong
China,guizhou,changzhai
China,sichuan,yajiang
China,sichuan,yongxinzhen
China,hunan,junshan district
China,jiangxi,jinxi
China,anhui,jianpingzhen
China,sichuan,chenguzhen
China,anhui,tianjiaan qu
China,heilongjiang,lanxi xian
China,sichuan,gengda
China,jiangxi,de an county
China,anhui,hujizhen
China,jiangxi,baikou
China,Anhui,Wuchengzhen Wuhu
China,hebei,yuxian county
China,shanxi,hedizhen
China,inner mongolia,horqin youyi qianqi
China,shandong,duoshizhen
China,jiangsu,benniuzhen
China,henan,xinye xian
China,guangdong,bawanzhen
China,anhui,biaolizhen
China,Henan,Wenliuzhen
China,fujian,chiling
China,yunnan,longshan
China,shanxi,yunzhuzhen
China,fujian,baishan
China,jiangsu,jingcheng
China,sichuan,qinggangxiang
China,anhui,wabuzhen
China,hebei,xinglongzhen
China,shaanxi,beimen
China,sichuan,wenchuan xian
China,chongqing,chaoyuan
China,jiangsu,baoying
China,chongqing,baihua
China,sichuan,xinjin
China,jiangxi,huangtuling
China,fujian,chengyuanxiang
China,chongqing,qinggangzhen
China,guangdong,tongyuzhen
China,sichuan,chouba
China,liaoning,shuncheng qu
China,guangdong,huicheng
China,anhui,fanwei
China,chongqing,guixi
China,guangxi zhuang,litangzhen
China,sichuan,yangxizhen
China,jiangsu,guangming
China,Jiangxi,Shuangxizhen
China,guangxi zhuang,chaotan
China,henan,lugangxiang fengqiu
China,hubei,daji
Unknown,Guangxi Zhuang,Lingcheng
China,hubei,wudong
China,guizhou,yonglezhen zunyi
China,guizhou,hepingzhen tongren
China,heilongjiang,gannan
China,inner mongolia,jiudengkou
China,Guangxi Zhuang,Pingnanzhen Guigang
China,sichuan,xunchangzhen
China,henan,gulou qu
China,gansu,huanxian county
China,sichuan,xinfaxiang yibin
Unknown,Tibet,Xigaze
China,Yunnan,Jinshanzhen
China,hubei,futuzhen
China,yunnan,linan
China,hebei,paoliangxiang
China,henan,zhongzhan district
China,Jilin,Jingyuzhen
China,henan,wuliqiaozhen
China,hunan,changhuxiang hengyang
China,anhui,longchengzhen
China,zhejiang,tongluzhen
China,gansu,xiehezhen
China,xinjiang uygur,qapqal xibe autonomous county
China,zhejiang,chang\u0027anzhen jiaxing
China,henan,chengwa
China,jilin,ji\u0027an
China,beijing,xingshouzhen
China,zhejiang,daqiaozhen jiaxing
China,zhejiang,waigu
China,Yunnan,Lushui Xian
China,Shandong,Xintai
China,guangdong,xiegang
China,anhui,gugang
China,guangxi zhuang,gucheng district
China,hunan,xiangyin
Unknown,Inner Mongolia,Jingpengzhen
Unknown,Gansu,Zhangye
Unknown,Heilongjiang,Mishan
China,Jiangsu,Wangyingzhen
Unknown,Guangdong,Jieyang
Unknown,Guangdong,Chancheng
Unknown,Liaoning,Diaobingshan
Unknown,Guangdong,Pinshan
China,Guangdong,Rongcheng Qu
China,Guangdong,Yangmingzhen
Unknown,Henan,Minquan Chengguanzhen
Unknown,Chongqing,Yongchuan Qu
China,Guangdong,Pingzhou
China,Shanghai,Zhujiajiaozhen
China,Xinjiang Uygur,Toksunzhen
Unknown,Heilongjiang,Nehe
China,Fujian,Guyuan
China,jiangxi,feijiantanxiang
Unknown,Sichuan,Jianchengzhen
China,Shaanxi,Guozhen
China,Hainan,Nada
China,Guangdong,Lianjiang
China,Guangdong,Xuwen
China,Shandong,Jiaozhou Shi
China,shaanxi,luanzhen
China,heilongjiang,beian
China,inner mongolia,holingol
China,fujian,xibuzhen
China,guizhou,boshang
China,guizhou,baimangxiang
China,jiangsu,lianchengzhen
China,Jiangxi,Anyi
China,anhui,chengguanzhen huaiyuan
China,hebei,tumuzhen
China,sichuan,zhujiaxiang nanchong
China,shandong,weichanglu
China,henan,yanling xian
China,hunan,leidashizhen
China,hebei,haiyangzhen
Unknown,Heilongjiang,Qitaihe
China,liaoning,yangshigangzhen
China,jilin,panjiaoxiang
China,henan,dongguan
China,Heilongjiang,Wanggangzhen
China,jiangxi,yugan xian
China,guangxi zhuang,putaozhen
China,heilongjiang,xian district
China,hebei,xingyi
China,hebei,quzhou
China,jiangxi,jishui county
China,shanghai,chenjiazhen
China,inner mongolia,alxa youqi
China,ningxia hui autonomous region,pingfuqiao
China,Sichuan,Ziyang
China,shanghai,luodianzhen
China,jiangxi,shishanxiang shangrao
China,Zhejiang,Fuyang Qu
China,henan,suixian
China,guizhou,weipangxiang
China,Hunan,Heshan Qu
China,heilongjiang,xing an district
China,fujian,chencuocun
China,shanxi,xingzhaixiang
China,shandong,xiagezhuangzhen
China,Hebei,Renqiu
China,guizhou,shaomixiang
China,gansu,shahe
China,zhejiang,dangshanzhen
China,liaoning,baichangmenzhen
China,anhui,feixi xian
China,hunan,ruyizhen
China,hunan,sanxianhuzhen
China,guangxi zhuang,chengdong
China,guizhou,zhaojia
China,henan,heyuzhen
China,henan,hudianxiang
China,yunnan,shilin yizu zizhixian
China,jiangsu,anfengzhen yancheng
China,henan,zhichengzhen
China,henan,guduixiang
China,shanxi,mingxing
China,gansu,minxian
China,shanxi,shiqu
China,hebei,jiajiakouzhen
China,fujian,zherong county
China,zhejiang,weitang
China,liaoning,xinzhaizizhen
China,jiangxi,hukou xian
China,guangdong,dongyuanzhen
China,gansu,rouyuanzhen
China,shaanxi,shuanghexiang yan\u0027an
China,zhejiang,shanghaicun
China,guangxi zhuang,lipu
China,guangdong,dapingzhen liannan
China,sichuan,gingningxiang
China,gansu,yangan
China,jiangsu,xiaojianzhen
China,anhui,sanhezhen fuyang
China,guangdong,wukan
China,shandong,ermiaoxiang
China,shanxi,dashitou
China,hainan,lincheng
Unknown,Gansu,Jiayuguan
China,hubei,rongchengzhen
China,guizhou,lutangxiang
China,hebei,madianzhen
China,ningxia hui autonomous region,yuhai
China,yunnan,zhonganzhen
China,jiangsu,shaoyang
China,gansu,yang\u0027an
China,inner mongolia,baihaizizhen
China,beijing,mizidiancun
China,hubei,dachuanzhen
China,zhejiang,yayangzhen
China,yunnan,yongde county
China,sichuan,yanchengzhen jiajiang
China,shaanxi,binxian
China,hainan,jingmen
China,jiangsu,dongqiao
China,guangxi zhuang,xing\u0027an
China,Henan,Yingchuan
China,jiangsu,yanziji
China,hubei,tsaitien
China,inner mongolia,zhuozishanzhen
China,shaanxi,shangzhou
China,zhejiang,cheng\u0027ao
China,shandong,jiazhaixiang
China,sichuan,cangshanzhen
China,shandong,zhangxiazhen
China,guangdong,zhongtangzhen
China,shaanxi,yanwangxiang
China,xinjiang uygur,dushanzi qu
China,anhui,xiagezhen
China,hebei,luanpingzhen
China,xinjiang uygur,hejing xian
China,yunnan,mabai
China,shanxi,xinyizhen
China,henan,digexiang
China,fujian,punanzhen
China,Hebei,Chaigoubuzhen
China,shandong,henancun
China,shandong,guanyizhen
China,shandong,fengjiazhen binzhou
China,jiangxi,dayu xian
China,jiangsu,qinzaozhen
China,fujian,fu an
China,anhui,juanqiaozhen
China,henan,xunmukouzhen
China,henan,huangtaigangzhen
China,hunan,xinhuang
China,shandong,shuangmiaozhen
Unknown,Yunnan,Puer
China,yunnan,laojiecun
China,guizhou,longshanzhen qiannan
China,zhejiang,jinxiangzhen
China,sichuan,luohanzhen leshan
China,sichuan,longmenxiang yaan
China,guangdong,kengkouzhen
China,guangdong,bao an qu
China,shaanxi,tangfangzhen
China,liaoning,gaotuozhen
China,hebei,xiheyingzhen
China,guizhou,xingshan
China,henan,wancheng qu
China,liaoning,lushunkou qu
China,anhui,dingyuan xian
China,guangxi zhuang,menggongxiang
China,liaoning,taihezhen
China,henan,liulinxiang
China,guangdong,buwei
China,anhui,bengshan qu
China,jiangxi,qiukouzhen
China,jiangsu,changlu
China,tianjin,liuyuan
China,guangxi zhuang,fucheng
China,sichuan,jiancheng
China,henan,shihe qu
China,xinjiang uygur,moyu county
China,guizhou,suiyang
China,hebei,zhufutunzhen
China,yunnan,pingtianxiang
China,hebei,dongxianpozhen
China,zhejiang,pingyaozhen
China,tianjin,shuchengzhen
China,shandong,donge xian
China,guangxi zhuang,chaotianxiang
China,hebei,weishuizhen
China,guizhou,baishajing
China,hebei,zhanghuitingxiang
China,inner mongolia,bayanzhen hohhot
China,zhejiang,wuyunzhen
China,henan,liangyuan qu
China,sichuan,gaohe
China,hunan,mayang miaozu aut county
China,beijing,changshaoyingxiang
China,jiangsu,houxiangzhen
China,sichuan,guanshengzhen suining
China,shaanxi,wuqizhen
China,hebei,niujuanzigouzhen
China,zhejiang,ouhai qu
China,hebei,liucunxiang shenze
China,Yunnan,Mengzi
China,shaanxi,zhenba xian
China,Shandong,Yancheng
China,henan,shuangmiaojiexiang
China,hunan,yangluozhouzhen
China,henan,xiangdianzhen
China,jiangxi,tonggu xian
China,anhui,dangtu
China,yunnan,yanshan county
China,jiangxi,le an county
Unknown,Shanxi,Taigu
China,jilin,dongxing
China,jiangsu,zhengluzhen
China,Ningxia Hui,Zhongwei
China,jiangxi,nanchangshi
China,Hubei,Xianning
China,guizhou,chengguanzhen panxian
China,shanxi,jishan
China,hunan,wulingzhen
China,guangdong,shipai
China,shaanxi,binxian county
China,chongqing,shengli
Unknown,Unknown,Shijiazhuang
China,fujian,shenqiaozhen
China,guangdong,baisha
China,sichuan,dalinzhen
China,guangdong,duhuzhen
China,hebei,wanzhuangzhen
China,tianjin,dasizhen
China,tibet,burang county
Unknown,Shanxi,Houbu
China,hubei,gucheng xian
China,guizhou,xiachang
China,jiangsu,dongzhou
China,shaanxi,miaogoumenzhen
China,anhui,yingjiang district
China,yunnan,wenshan aut prefecture
China,yunnan,zhelongxiang
China,henan,beiqutou
China,hebei,wangkouzhen
China,hebei,nanhancunxiang
China,heilongjiang,suibin xian
China,henan,houzhaixiang
China,Zhejiang,Xiashi
China,ningxia hui,pingluo county
China,Sichuan,Dadukou
China,shandong,shanting district
China,shandong,zhuhongmiaoxiang
China,hunan,suining county
China,guangxi zhuang,dudongxiang
China,sichuan,luguzhen
China,gansu,chenmen
China,anhui,banqiaozhen lu\u0027an
China,zhejiang,fuyang qu
China,Henan,Suixian
China,shandong,tangfangzhen
China,sichuan,da\u0027an qu
China,hebei,jianguozhen
China,sichuan,gaobanzhen
China,beijing,huairou
Unknown,Yunnan,Kunyangzhen
China,guangdong,pingyuan county
Unknown,Shandong,Mengyinzhen
China,Henan,Xinzheng
China,Heilongjiang,Yilanzhen
Unknown,Zhejiang,Shangyu
China,fujian,anyincun
China,chongqing,xiyongzhen
China,Henan,Zhenping Xian
China,Jiangsu,Qingkouzhen
China,Yunnan,Ruili
China,Inner Mongolia,Ulan Hot
Unknown,Jiangsu,Huduo
China,hebei,dongguang xian
China,guizhou,qingchangzhen
China,hubei,pengxingxiang
China,gansu,chuankou
China,tianjin,jinnan qu
Unknown,Shandong,Caoxian
China,jilin,taonan
Unknown,Zhejiang,Tonglu
China,Heilongjiang,Hulan
China,Jiangxi,Yongfengzhen
Unknown,Hunan,Lantian
China,shaanxi,weifengzhen
China,Jiangxi,Yiyang Xian
China,heilongjiang,du\u0027erbote mengguzu zizhixian
Unknown,Shandong,Yanzhou Qu
China,Shanxi,Ningwu Xian
Unknown,Hebei,Changshouzhen
China,Sichuan,Peng Xian
China,Jiangxi,Dongshanzhen Shangyou
China,guizhou,xiabaxiang
China,Shandong,Guangraozhen
China,yunnan,baohezhen
China,guangdong,fengkai xian
China,chongqing,lijiazhen
China,Yunnan,Rongcheng
China,shandong,sanshilipuzhen
China,shanxi,wutai xian
China,Unknown,Harbin
China,hunan,linanzhen
China,anhui,yaokouxiang
China,sichuan,pahaxiang
Unknown,Shandong,Jinxiangzhen
China,guizhou,chengguanzhen pingba
China,hubei,wolongxiang
China,tianjin,liqizhuang
Unknown,Shandong,Penglai
China,hubei,yunmeng county
Unknown,Gansu,Xifengzhen
China,Hebei,Bazhou
Unknown,Jiangsu,Fengxian
Unknown,Guangdong,Yuanshanzhen
Unknown,Chongqing,Wanxian
Unknown,Zhejiang,Ruian
China,Yunnan,Danfengzhen
Unknown,Fujian,Sanming
China,shandong,menlouzhen
China,Sichuan,Wujinzhen
China,Hunan,Dongpingzhen
China,Shandong,Boshan
China,Shanxi,Ximing
Unknown,Jiangsu,Baoying Xian
Unknown,Anhui,Wuhe Xian
Unknown,Guangdong,Changpingzhen
China,Guangdong,Jiujiangzhen
China,Guangdong,Gaoming Qu
China,Unknown,Longfeng
China,Guizhou,Jinsha Xian
China,Chongqing,Bachuan
China,Jiangsu,Jinsha
China,Hebei,Zhuozhou Shi
China,inner mongolia,zhuozi
China,shandong,qihe xian
China,henan,chendianzhen
Unknown,Anhui,Fuchengzhen
China,jilin,kuaidamaozhen
China,hebei,gaoyingzhen
Unknown,Hubei,Zaoyang
China,Sichuan,Yanjiang
China,Guangdong,Longjiangzhen Longmen
Unknown,Guangdong,Chencunzhen Foshan
China,jiangxi,anyi
China,zhejiang,tiantai xian
Unknown,Beijing,Yanqingzhen
China,henan,guanmiao
China,hebei,beiguan
Unknown,Anhui,Shangpaizhen
China,Shandong,Yatou
China,inner mongolia,darhan mu minggan lianheqi
China,hubei,zhuxi county
China,Shandong,Chengwu Xian
China,jilin,yitong manchu autonomous county
China,anhui,shunhezhen
China,heilongjiang,wudalianchi
China,henan,chengguanzhen taikang
China,yunnan,shidengxiang
China,anhui,caolaojizhen
China,zhejiang,duqiaozhen
China,liaoning,laofangshen
China,shaanxi,suide
China,guangdong,yaotianzhen
China,henan,yinzhuangzhen
China,jiangsu,gonghezhen
China,Hebei,Pingquanzhen
China,jiangsu,caolin
China,Beijing,Haidian
Unknown,Hunan,Yongjiawan
China,henan,baituzhen
China,hebei,zhaoxian county
China,Xinjiang Uygur,Kuytun
China,inner mongolia,yulinzhen
China,hunan,shanqiaozhen
China,shanxi,tianzhen xian
China,shaanxi,zizhou county
China,jilin,shelizhen
China,liaoning,dengtacun
China,chongqing,jijiang
Unknown,Henan,Ruzhou
China,guangdong,fengkai county
China,shanxi,tangxingzhen
China,sichuan,huili xian
China,shanxi,lishi
China,jiangsu,dafeng
China,xinjiang uygur,chabucha\u0027erzhen
Unknown,Anhui,Tai Ping
China,hunan,hetang qu
China,shandong,gaoliuzhen
China,hebei,tangjiahezhen
China,guangxi zhuang,fengdong
China,liaoning,anzhangzi
Unknown,Heilongjiang,Pingyang
China,Shandong,Changle
China,xinjiang uygur,burqinzhen
Unknown,Henan,Hancheng
China,anhui,tiantangzhen
China,jiangsu,chenjizhen yangzhou
China,yunnan,fengqing xian
China,sichuan,huangxixiang nanchong
China,beijing,gongchen
China,hebei,yuqiaoxiang
Unknown,Tibet,Gar Xian
Unknown,Sichuan,Xinfanzhen
China,hunan,huaqiaozhen hengyang
China,hunan,shijiang
China,liaoning,xiaomingzhen
China,Xinjiang Uygur,Gujiangbagexiang
China,jiangsu,fuxingzhen
Unknown,Shandong,Jiao Xian
Unknown,Henan,Yanshi Chengguanzhen
China,Heilongjiang,Mishan
China,shandong,fuzhuang
China,shanghai,xinchenglu
China,henan,guanzhi
China,zhejiang,fengchaoxiang
China,guizhou,panxian county
China,Hubei,Hengdian
China,sichuan,mimuzhen
China,hebei,xinan
China,jiangxi,xiajiang county
China,hubei,hukou
China,Xinjiang Uygur,Qitai
China,yunnan,haikouzhen kunming
China,shandong,dongshahezhen
Unknown,Jiangsu,Dongtai
China,sichuan,wannianzhen
China,guangdong,longxizhen
China,Zhejiang,Pingyang
China,shanxi,beiguangxiang
China,anhui,yeji district
China,Guangdong,Daliang
China,guangdong,anqian
China,shandong,tai erzhuang qu
China,sichuan,shibantanzhen
Unknown,Shandong,Juancheng Xian
China,fujian,huatingzhen
Unknown,Zhejiang,Haixing
China,anhui,taihu county
China,hebei,anci qu
China,jiangxi,sujiadangxiang
China,guangdong,sanjiangzhen qingyuan
China,shanxi,tuofengxiang
China,hunan,gaocunzhen
China,sichuan,yuechi xian
Unknown,Liaoning,Donggang
Unknown,Hunan,Chen Xian
China,Hebei,Dagezhen
China,sichuan,hongxingxiang ngawa
China,Xinjiang Uygur,Xinyuanzhen
Unknown,Zhejiang,Fuyang
China,anhui,guzhen
Unknown,Yunnan,Baoshan
China,Hubei,Anlu
Unknown,Hubei,Anlu
Unknown,Heilongjiang,Fengxiangzhen
China,guangxi zhuang,youyizhen
China,henan,naodianzhen
China,Gansu,Beidao
Unknown,Shaanxi,Shiquan
Unknown,Zhejiang,Cixi
China,hebei,zangtunxiang
