cityname,cityshortname,citypinyin,cityshortpinyin,cityareaname,cityareashortname,provincename,provinceshortname
铜山区,铜山,tongshanqu,tongshan,徐州市,徐州市,江苏,江苏
新都区,新都,xindouqu,xindou,成都市,成都市,四川,四川
利津县,利津,lijinxian,lijin,东营市,东营市,山东,山东
茶陵县,茶陵,chalingxian,chaling,株洲市,株洲市,湖南,湖南
呼兰区,呼兰,hulanqu,hulan,哈尔滨市,哈尔滨市,黑龙江,黑龙江
弋江区,弋江,yijiangqu,yijiang,芜湖市,芜湖市,安徽,安徽
北林区,北林,beilinqu,beilin,绥化市,绥化市,黑龙江,黑龙江
朔城区,朔城,shuochengqu,shuocheng,朔州市,朔州市,山西,山西
麦积区,麦积,maijiqu,maiji,天水市,天水市,甘肃,甘肃
蓬安县,蓬安,penganxian,pengan,南充市,南充市,四川,四川
黑山县,黑山,heishanxian,heishan,"锦州市 ","锦州市 ",辽宁,辽宁
兴宁市,兴宁,xingningshi,xingning,梅州市,梅州市,广东,广东
上虞区,上虞,shangyushi,shangyu,绍兴市,绍兴市,浙江,浙江
惠城区,惠城,huichengqu,huicheng,惠州市,惠州市,广东,广东
泾川县,泾川,jingchuanxian,jingchuan,平凉市,平凉市,甘肃,甘肃
增城区,增城,zengchengshi,zengcheng,广州市,广州市,广东,广东
荔浦县,荔浦,lipuxian,lipu,桂林市,桂林市,广西,广西
黄埔区,黄埔,huangpuqu,huangpu,广州市,广州市,广东,广东
沅陵县,沅陵,yuanlingxian,yuanling,怀化市,怀化市,湖南,湖南
邵阳县,邵阳,shaoyangxian,shaoyang,邵阳市,邵阳市,湖南,湖南
徽县,徽县,huixian,huixian,陇南市,陇南市,甘肃,甘肃
汾阳市,汾阳,fenyangshi,fenyang,吕梁市,吕梁市,山西,山西
衡南县,衡南,hengnanxian,hengnan,衡阳市,衡阳市,湖南,湖南
衡东县,衡东,hengdongxian,hengdong,衡阳市,衡阳市,湖南,湖南
罗甸县,罗甸,luodianxian,luodian,黔南布依族苗族自治州,黔南布依族苗族自治州,贵州,贵州
恭城瑶族自治县,恭城瑶族,gongchengyaozuzizhixian,gongchengyaozu,桂林市,桂林市,广西,广西
麻阳苗族自治县,麻阳苗族,mayangmiaozuzizhixian,mayangmiaozu,怀化市,怀化市,湖南,湖南
醴陵市,醴陵,lilingshi,liling,株洲市,株洲市,湖南,湖南
湘乡市,湘乡,xiangxiangshi,xiangxiang,湘潭市,湘潭市,湖南,湖南
云县,云县,yunxian,yunxian,临沧市,临沧市,云南,云南
东宝区,东宝,dongbaoqu,dongbao,荆门市,荆门市,湖北,湖北
迁西县,迁西,qianxixian,qianxi,唐山市,唐山市,河北,河北
天元区,天元,tianyuanqu,tianyuan,株洲市,株洲市,湖南,湖南
开平区,开平,kaipingqu,kaiping,唐山市,唐山市,河北,河北
佛坪县,佛坪,fopingxian,foping,汉中市,汉中市,陕西,陕西
庄河市,庄河,zhuangheshi,zhuanghe,大连市,大连市,辽宁,辽宁
石棉县,石棉,shimianxian,shimian,雅安市,雅安市,四川,四川
丰都县,丰都,fengdouxian,fengdou,重庆市,重庆市,重庆,重庆
溧阳市,溧阳,liyangshi,liyang,常州市,常州市,江苏,江苏
新野县,新野,xinyexian,xinye,南阳市,南阳市,河南,河南
宛城区,宛城,wanchengqu,wancheng,南阳市,南阳市,河南,河南
临川区,临川,linchuanqu,linchuan,抚州市,抚州市,江西,江西
固镇县,固镇,guzhenxian,guzhen,蚌埠市,蚌埠市,安徽,安徽
永登县,永登,yongdengxian,yongdeng,兰州市,兰州市,甘肃,甘肃
榆中县,榆中,yuzhongxian,yuzhong,兰州市,兰州市,甘肃,甘肃
连云区,连云,lianyunqu,lianyun,连云港市,连云港市,江苏,江苏
封开县,封开,fengkaixian,fengkai,肇庆市,肇庆市,广东,广东
临洮县,临洮,lintaoxian,lintao,定西市,定西市,甘肃,甘肃
介休市,介休,jiexiushi,jiexiu,晋中市,晋中市,山西,山西
青铜峡市,青铜峡,qingtongxiashi,qingtongxia,吴忠市,吴忠市,宁夏,宁夏
杜尔伯特蒙古族自治县,杜尔伯特蒙古族,duerbotemengguzuzizhixian,duerbotemengguzu,大庆市,大庆市,黑龙江,黑龙江
贞丰县,贞丰,zhenfengxian,zhenfeng,黔西南布依族苗族自治州,黔西南布依族苗族自治州,贵州,贵州
嘉荫县,嘉荫,jiayinxian,jiayin,伊春市,伊春市,黑龙江,黑龙江
定远县,定远,dingyuanxian,dingyuan,滁州市,滁州市,安徽,安徽
威远县,威远,weiyuanxian,weiyuan,内江市,内江市,四川,四川
鄯善县,鄯善,shanshanxian,shanshan,吐鲁番市,吐鲁番市,新疆,新疆
安宁市,安宁,anningshi,anning,"昆明市 ","昆明市 ",云南,云南
本溪满族自治县,本溪满族,benximanzuzizhixian,benximanzu,本溪市,本溪市,辽宁,辽宁
连山区,连山,lianshanqu,lianshan,葫芦岛市,葫芦岛市,辽宁,辽宁
连山壮族瑶族自治县,连山壮族瑶族,lianshanzhuangzuyaozuzizhixian,lianshanzhuangzuyaozu,清远市,清远市,广东,广东
广汉市,广汉,guanghanshi,guanghan,德阳市,德阳市,四川,四川
绥滨县,绥滨,suibinxian,suibin,鹤岗市,鹤岗市,黑龙江,黑龙江
弋阳县,弋阳,yiyangxian,yiyang,上饶市,上饶市,江西,江西
龙港区,龙港,longgangqu,longgang,葫芦岛市,葫芦岛市,辽宁,辽宁
张家川回族自治县,张家川回族,zhangjiachuanhuizuzizhixian,zhangjiachuanhuizu,天水市,天水市,甘肃,甘肃
景县,景县,jingxian,jingxian,"衡水市 ","衡水市 ",河北,河北
东光县,东光,dongguangxian,dongguang,沧州市,沧州市,河北,河北
连州市,连州,lianzhoushi,lianzhou,清远市,清远市,广东,广东
密山市,密山,mishanshi,mishan,鸡西市,鸡西市,黑龙江,黑龙江
清河县,清河,qinghexian,qinghe,邢台市,邢台市,河北,河北
涟水县,涟水,lianshuixian,lianshui,淮安市,淮安市,江苏,江苏
广南县,广南,guangnanxian,guangnan,文山壮族苗族自治州,文山壮族苗族自治州,云南,云南
晴隆县,晴隆,qinglongxian,qinglong,黔西南布依族苗族自治州,黔西南布依族苗族自治州,贵州,贵州
永仁县,永仁,yongrenxian,yongren,楚雄彝族自治州,楚雄彝族自治州,云南,云南
连城县,连城,lianchengxian,liancheng,龙岩市,龙岩市,福建,福建
渭源县,渭源,weiyuanxian,weiyuan,定西市,定西市,甘肃,甘肃
永善县,永善,yongshanxian,yongshan,昭通市,昭通市,云南,云南
横峰县,横峰,hengfengxian,hengfeng,上饶市,上饶市,江西,江西
嘉禾县,嘉禾,jiahexian,jiahe,郴州市,郴州市,湖南,湖南
离石区,离石,lishiqu,lishi,吕梁市,吕梁市,山西,山西
龙马潭区,龙马潭,longmatanqu,longmatan,泸州市,泸州市,四川,四川
山阳县,山阳,shanyangxian,shanyang,商洛市,商洛市,陕西,陕西
五大连池市,五大连池,wudalianchishi,wudalianchi,黑河市,黑河市,黑龙江,黑龙江
昌邑区,昌邑,changyiqu,changyi,吉林市,吉林市,吉林,吉林
福田区,福田,futianqu,futian,深圳市,深圳市,广东,广东
西峡县,西峡,xixiaxian,xixia,南阳市,南阳市,河南,河南
惠东县,惠东,huidongxian,huidong,惠州市,惠州市,广东,广东
突泉县,突泉,tuquanxian,tuquan,兴安盟,兴安盟,内蒙古,内蒙古
公主岭市,公主岭,gongzhulingshi,gongzhuling,四平市,四平市,吉林,吉林
海丰县,海丰,haifengxian,haifeng,汕尾市,汕尾市,广东,广东
蜀山区,蜀山,shushanqu,shushan,合肥市,合肥市,安徽,安徽
华州区,华州,huazhouqu,huazhou,渭南市,渭南市,陕西,陕西
沽源县,沽源,guyuanxian,guyuan,张家口市,张家口市,河北,河北
西畴县,西畴,xichouxian,xichou,文山壮族苗族自治州,文山壮族苗族自治州,云南,云南
安居区,安居,anjuqu,anju,遂宁市,遂宁市,四川,四川
舒兰市,舒兰,shulanshi,shulan,吉林市,吉林市,吉林,吉林
鼎湖区,鼎湖,dinghuqu,dinghu,肇庆市,肇庆市,广东,广东
贡井区,贡井,gongjingqu,gongjing,自贡市,自贡市,四川,四川
林口县,林口,linkouxian,linkou,牡丹江市,牡丹江市,黑龙江,黑龙江
临夏县,临夏,linxiaxian,linxia,临夏回族自治州,临夏回族自治州,甘肃,甘肃
庐山市,庐山,lushanqu,lushan,九江市,九江市,江西,江西
秦安县,秦安,qinanxian,qinan,天水市,天水市,甘肃,甘肃
衢江区,衢江,qujiangqu,qujiang,衢州市,衢州市,浙江,浙江
同安区,同安,tonganqu,tongan,厦门市,厦门市,福建,福建
望奎县,望奎,wangkuixian,wangkui,绥化市,绥化市,黑龙江,黑龙江
舞阳县,舞阳,wuyangxian,wuyang,漯河市,漯河市,河南,河南
兴文县,兴文,xingwenxian,xingwen,宜宾市,宜宾市,四川,四川
岳麓区,岳麓,yueluqu,yuelu,长沙市,长沙市,湖南,湖南
五华区,五华,wuhuaqu,wuhua,昆明市,昆明市,云南,云南
澄海区,澄海,chenghaiqu,chenghai,汕头市,汕头市,广东,广东
郊区,郊区,jiaoqu,jiaoqu,佳木斯市,佳木斯市,黑龙江,黑龙江
康乐县,康乐,kanglexian,kangle,临夏回族自治州,临夏回族自治州,甘肃,甘肃
思明区,思明,simingqu,siming,厦门市,厦门市,福建,福建
富川瑶族自治县,富川瑶族,fuchuanyaozuzizhixian,fuchuanyaozu,贺州市,贺州市,广西,广西
攸县,攸县,youxian,youxian,株洲市,株洲市,湖南,湖南
罗湖区,罗湖,luohuqu,luohu,深圳市,深圳市,广东,广东
横县,横县,hengxian,hengxian,南宁市,南宁市,广西,广西
南昌县,南昌,nanchangxian,nanchang,南昌市,南昌市,江西,江西
浦城县,浦城,puchengxian,pucheng,南平市,南平市,福建,福建
锦江区,锦江,jinjiangqu,jinjiang,成都市,成都市,四川,四川
岳西县,岳西,yuexixian,yuexi,安庆市,安庆市,安徽,安徽
斗门区,斗门,doumenqu,doumen,珠海市,珠海市,广东,广东
宜阳县,宜阳,yiyangxian,yiyang,洛阳市,洛阳市,河南,河南
隆尧县,隆尧,longyaoxian,longyao,邢台市,邢台市,河北,河北
隆德县,隆德,longdexian,longde,固原市,固原市,宁夏,宁夏
蒙阴县,蒙阴,mengyinxian,mengyin,临沂市,临沂市,山东,山东
沙坪坝区,沙坪坝,shapingbaqu,shapingba,重庆市,重庆市,重庆,重庆
丛台区,丛台,congtaiqu,congtai,邯郸市,邯郸市,河北,河北
南岔区,南岔,nanchaqu,nancha,伊春市,伊春市,黑龙江,黑龙江
蒸湘区,蒸湘,zhengxiangqu,zhengxiang,衡阳市,衡阳市,湖南,湖南
扎鲁特旗,扎鲁特旗,zhaluteqi,zhaluteqi,通辽市,通辽市,内蒙古,内蒙古
龙城区,龙城,longchengqu,longcheng,朝阳市,朝阳市,辽宁,辽宁
寻甸回族彝族自治县,寻甸回族彝族,xundianhuizuyizuzizhixian,xundianhuizuyizu,"昆明市 ","昆明市 ",云南,云南
尤溪县,尤溪,youxixian,youxi,三明市,三明市,福建,福建
紫阳县,紫阳,ziyangxian,ziyang,安康市,安康市,陕西,陕西
黄埔区,黄埔,luogangqu,luogang,广州市,广州市,广东,广东
广宁县,广宁,guangningxian,guangning,肇庆市,肇庆市,广东,广东
名山区,名山,mingshanxian,mingshan,雅安市,雅安市,四川,四川
沿滩区,沿滩,yantanqu,yantan,自贡市,自贡市,四川,四川
南市区,南市,nanshiqu,nanshi,保定市,保定市,河北,河北
盘龙区,盘龙,panlongqu,panlong,昆明市,昆明市,云南,云南
平房区,平房,pingfangqu,pingfang,哈尔滨市,哈尔滨市,黑龙江,黑龙江
新华区,新华,xinhuaqu,xinhua,石家庄市,石家庄市,河北,河北
点军区,点军,dianjunqu,dianjun,宜昌市,宜昌市,湖北,湖北
饶平县,饶平,raopingxian,raoping,潮州市,潮州市,广东,广东
桑珠孜区,桑珠孜,sangzhuziqu,sangzhuzi,日喀则市,日喀则市,西藏,西藏
嫩江县,嫩江,nenjiangxian,nenjiang,黑河市,黑河市,黑龙江,黑龙江
泰顺县,泰顺,taishunxian,taishun,温州市,温州市,浙江,浙江
墨江哈尼族自治县,墨江哈尼族,mojianghanizuzizhixian,mojianghanizu,普洱市,普洱市,云南,云南
廉江市,廉江,lianjiangshi,lianjiang,湛江市,湛江市,广东,广东
叶县,叶县,yexian,yexian,平顶山市,平顶山市,河南,河南
邵东县,邵东,shaodongxian,shaodong,邵阳市,邵阳市,湖南,湖南
东台市,东台,dongtaishi,dongtai,盐城市,盐城市,江苏,江苏
藁城区,藁城,gaochengshi,gaocheng,石家庄市,石家庄市,河北,河北
合浦县,合浦,hepuxian,hepu,北海市,北海市,广西,广西
宁河区,宁河,ninghexian,ninghe,天津市,天津市,天津,天津
遂昌县,遂昌,suichangxian,suichang,丽水市,丽水市,浙江,浙江
安塞区,安塞,ansaixian,ansai,延安市,延安市,陕西,陕西
南浔区,南浔,nanxunqu,nanxun,湖州市,湖州市,浙江,浙江
扶沟县,扶沟,fugouxian,fugou,周口市,周口市,河南,河南
常熟市,常熟,changshushi,changshu,苏州市,苏州市,江苏,江苏
青浦区,青浦,qingpuqu,qingpu,上海市,上海市,上海,上海
洱源县,洱源,eryuanxian,eryuan,大理白族自治州,大理白族自治州,云南,云南
兴国县,兴国,xingguoxian,xingguo,赣州市,赣州市,江西,江西
习水县,习水,xishuixian,xishui,遵义市,遵义市,贵州,贵州
巩留县,巩留,gongliuxian,gongliu,伊犁哈萨克自治州,伊犁哈萨克自治州,新疆,新疆
察布查尔锡伯自治县,察布查尔锡伯,chabuchaerxibozizhixian,chabuchaerxibo,伊犁哈萨克自治州,伊犁哈萨克自治州,新疆,新疆
莲花县,莲花,lianhuaxian,lianhua,萍乡市,萍乡市,江西,江西
兴宾区,兴宾,xingbinqu,xingbin,来宾市,来宾市,广西,广西
大通回族土族自治县,大通回族土族,datonghuizutuzuzizhixian,datonghuizutuzu,西宁市,西宁市,青海,青海
惠阳区,惠阳,huiyangqu,huiyang,惠州市,惠州市,广东,广东
从化区,从化,conghuashi,conghua,广州市,广州市,广东,广东
安泽县,安泽,anzexian,anze,临汾市,临汾市,山西,山西
都匀市,都匀,douyunshi,douyun,黔南布依族苗族自治州,黔南布依族苗族自治州,贵州,贵州
叶城县,叶城,yechengxian,yecheng,喀什地区,喀什,新疆,新疆
安吉县,安吉,anjixian,anji,湖州市,湖州市,浙江,浙江
宁县,宁县,ningxian,ningxian,庆阳市,庆阳市,甘肃,甘肃
良庆区,良庆,liangqingqu,liangqing,南宁市,南宁市,广西,广西
比如县,比如,biruxian,biru,那曲地区,那曲,西藏,西藏
渝水区,渝水,yushuiqu,yushui,新余市,新余市,江西,江西
三穗县,三穗,sansuixian,sansui,黔东南苗族侗族自治州,黔东南苗族侗族自治州,贵州,贵州
临渭区,临渭,linweiqu,linwei,渭南市,渭南市,陕西,陕西
揭西县,揭西,jiexixian,jiexi,揭阳市,揭阳市,广东,广东
镇宁布依族苗族自治县,镇宁布依族苗族,zhenningbuyizumiaozuzizhixian,zhenningbuyizumiaozu,安顺市,安顺市,贵州,贵州
金凤区,金凤,jinfengqu,jinfeng,银川市,银川市,宁夏,宁夏
陆川县,陆川,luchuanxian,luchuan,玉林市,玉林市,广西,广西
苏仙区,苏仙,suxianqu,suxian,郴州市,郴州市,湖南,湖南
静海区,静海,jinghaixian,jinghai,天津市,天津市,天津,天津
恩平市,恩平,enpingshi,enping,江门市,江门市,广东,广东
房山区,房山,fangshanqu,fangshan,北京市,北京市,北京,北京
君山区,君山,junshanqu,junshan,岳阳市,岳阳市,湖南,湖南
庄浪县,庄浪,zhuanglangxian,zhuanglang,平凉市,平凉市,甘肃,甘肃
融水苗族自治县,融水苗族,rongshuimiaozuzizhixian,rongshuimiaozu,柳州市,柳州市,广西,广西
阿合奇县,阿合奇,aheqixian,aheqi,克孜勒苏柯尔克孜自治州,克孜勒苏柯尔克孜自治州,新疆,新疆
阿克苏市,阿克苏,akesushi,akesu,阿克苏地区,阿克苏,新疆,新疆
都昌县,都昌,douchangxian,douchang,九江市,九江市,江西,江西
集贤县,集贤,jixianxian,jixian,双鸭山市,双鸭山市,黑龙江,黑龙江
库尔勒市,库尔勒,kuerleshi,kuerle,巴音郭楞蒙古自治州,巴音郭楞蒙古自治州,新疆,新疆
龙海市,龙海,longhaishi,longhai,漳州市,漳州市,福建,福建
洛浦县,洛浦,luopuxian,luopu,和田地区,和田,新疆,新疆
如皋市,如皋,rugaoshi,rugao,南通市,南通市,江苏,江苏
绥棱县,绥棱,suilengxian,suileng,绥化市,绥化市,黑龙江,黑龙江
孙吴县,孙吴,sunwuxian,sunwu,黑河市,黑河市,黑龙江,黑龙江
逊克县,逊克,xunkexian,xunke,黑河市,黑河市,黑龙江,黑龙江
泽普县,泽普,zepuxian,zepu,喀什地区,喀什,新疆,新疆
巴里坤哈萨克自治县,巴里坤哈萨克,balikunhasakezizhixian,balikunhasake,哈密市,哈密市,新疆,新疆
呼图壁县,呼图壁,hutubixian,hutubi,昌吉回族自治州,昌吉回族自治州,新疆,新疆
木垒哈萨克自治县,木垒哈萨克,muleihasakezizhixian,muleihasake,昌吉回族自治州,昌吉回族自治州,新疆,新疆
霍城县,霍城,huochengxian,huocheng,伊犁哈萨克自治州,伊犁哈萨克自治州,新疆,新疆
科尔沁右翼中旗,科尔沁右翼中旗,keerqinyouyizhongqi,keerqinyouyizhongqi,兴安盟,兴安盟,内蒙古,内蒙古
临泽县,临泽,linzexian,linze,张掖市,张掖市,甘肃,甘肃
余杭区,余杭,yuhangqu,yuhang,杭州市,杭州市,浙江,浙江
岱岳区,岱岳,daiyuequ,daiyue,泰安市,泰安市,山东,山东
虹口区,虹口,hongkouqu,hongkou,上海市,上海市,上海,上海
大安区,大安,daanqu,daan,自贡市,自贡市,四川,四川
西丰县,西丰,xifengxian,xifeng,铁岭市,铁岭市,辽宁,辽宁
剑阁县,剑阁,jiangexian,jiange,广元市,广元市,四川,四川
青龙满族自治县,青龙满族,qinglongmanzuzizhixian,qinglongmanzu,秦皇岛市,秦皇岛市,河北,河北
柳河县,柳河,liuhexian,liuhe,通化市,通化市,吉林,吉林
思南县,思南,sinanxian,sinan,铜仁市,铜仁市,贵州,贵州
图们市,图们,tumenshi,tumen,延边朝鲜族自治州,延边朝鲜族自治州,吉林,吉林
光山县,光山,guangshanxian,guangshan,信阳市,信阳市,河南,河南
鹤城区,鹤城,hechengqu,hecheng,怀化市,怀化市,湖南,湖南
宿松县,宿松,susongxian,susong,安庆市,安庆市,安徽,安徽
利川市,利川,lichuanshi,lichuan,恩施土家族苗族自治州,恩施土家族苗族自治州,湖北,湖北
禹州市,禹州,yuzhoushi,yuzhou,许昌市,许昌市,河南,河南
南乐县,南乐,nanlexian,nanle,濮阳市,濮阳市,河南,河南
高唐县,高唐,gaotangxian,gaotang,聊城市,聊城市,山东,山东
乾县,乾县,qianxian,qianxian,咸阳市,咸阳市,陕西,陕西
曹县,曹县,caoxian,caoxian,菏泽市,菏泽市,山东,山东
邱县,邱县,qiuxian,qiuxian,邯郸市,邯郸市,河北,河北
永胜县,永胜,yongshengxian,yongsheng,丽江市,丽江市,云南,云南
瓜州县,瓜州,guazhouxian,guazhou,酒泉市,酒泉市,甘肃,甘肃
吴桥县,吴桥,wuqiaoxian,wuqiao,沧州市,沧州市,河北,河北
肃宁县,肃宁,suningxian,suning,沧州市,沧州市,河北,河北
甘州区,甘州,ganzhouqu,ganzhou,张掖市,张掖市,甘肃,甘肃
乌达区,乌达,wudaqu,wuda,乌海市,乌海市,内蒙古,内蒙古
和政县,和政,hezhengxian,hezheng,临夏回族自治州,临夏回族自治州,甘肃,甘肃
泸溪县,泸溪,luxixian,luxi,湘西土家族苗族自治州,湘西土家族苗族自治州,湖南,湖南
商南县,商南,shangnanxian,shangnan,商洛市,商洛市,陕西,陕西
灵石县,灵石,lingshixian,lingshi,晋中市,晋中市,山西,山西
高碑店市,高碑店,gaobeidianshi,gaobeidian,保定市,保定市,河北,河北
盂县,盂县,yuxian,yuxian,阳泉市,阳泉市,山西,山西
岚县,岚县,lanxian,lanxian,吕梁市,吕梁市,山西,山西
费县,费县,feixian,feixian,临沂市,临沂市,山东,山东
梁山县,梁山,liangshanxian,liangshan,济宁市,济宁市,山东,山东
新民市,新民,xinminshi,xinmin,沈阳市,沈阳市,辽宁,辽宁
东昌府区,东昌府,dongchangfuqu,dongchangfu,聊城市,聊城市,山东,山东
冠县,冠县,guanxian,guanxian,聊城市,聊城市,山东,山东
盖州市,盖州,gaizhoushi,gaizhou,营口市,营口市,辽宁,辽宁
鲁山县,鲁山,lushanxian,lushan,平顶山市,平顶山市,河南,河南
姜堰区,姜堰,jiangyanqu,jiangyan,泰州市,泰州市,江苏,江苏
巴州区,巴州,bazhouqu,bazhou,巴中市,巴中市,四川,四川
肥东县,肥东,feidongxian,feidong,合肥市,合肥市,安徽,安徽
灵台县,灵台,lingtaixian,lingtai,平凉市,平凉市,甘肃,甘肃
金明区,金明,jinmingqu,jinming,开封市,开封市,河南,河南
丰县,丰县,fengxian,fengxian,徐州市,徐州市,江苏,江苏
任丘市,任丘,renqiushi,renqiu,沧州市,沧州市,河北,河北
广灵县,广灵,guanglingxian,guangling,大同市,大同市,山西,山西
内黄县,内黄,nahuangxian,nahuang,安阳市,安阳市,河南,河南
宁南县,宁南,ningnanxian,ningnan,凉山彝族自治州,凉山彝族自治州,四川,四川
梁子湖区,梁子湖,liangzihuqu,liangzihu,鄂州市,鄂州市,湖北,湖北
武昌区,武昌,wuchangqu,wuchang,武汉市,武汉市,湖北,湖北
祁东县,祁东,qidongxian,qidong,衡阳市,衡阳市,湖南,湖南
钟山县,钟山,zhongshanxian,zhongshan,贺州市,贺州市,广西,广西
江华瑶族自治县,江华瑶族,jianghuayaozuzizhixian,jianghuayaozu,永州市,永州市,湖南,湖南
盐亭县,盐亭,yantingxian,yanting,绵阳市,绵阳市,四川,四川
东港区,东港,donggangqu,donggang,日照市,日照市,山东,山东
微山县,微山,weishanxian,weishan,济宁市,济宁市,山东,山东
赤水市,赤水,chishuishi,chishui,遵义市,遵义市,贵州,贵州
通江县,通江,tongjiangxian,tongjiang,巴中市,巴中市,四川,四川
西乡县,西乡,xixiangxian,xixiang,汉中市,汉中市,陕西,陕西
秭归县,秭归,ziguixian,zigui,宜昌市,宜昌市,湖北,湖北
花垣县,花垣,huayuanxian,huayuan,湘西土家族苗族自治州,湘西土家族苗族自治州,湖南,湖南
平山县,平山,pingshanxian,pingshan,石家庄市,石家庄市,河北,河北
全州县,全州,quanzhouxian,quanzhou,桂林市,桂林市,广西,广西
彝良县,彝良,yiliangxian,yiliang,昭通市,昭通市,云南,云南
柞水县,柞水,zuoshuixian,zuoshui,商洛市,商洛市,陕西,陕西
当阳市,当阳,dangyangshi,dangyang,宜昌市,宜昌市,湖北,湖北
康县,康县,kangxian,kangxian,陇南市,陇南市,甘肃,甘肃
石泉县,石泉,shiquanxian,shiquan,安康市,安康市,陕西,陕西
叙永县,叙永,xuyongxian,xuyong,泸州市,泸州市,四川,四川
承德县,承德,chengdexian,chengde,承德市,承德市,河北,河北
康平县,康平,kangpingxian,kangping,沈阳市,沈阳市,辽宁,辽宁
彰武县,彰武,zhangwuxian,zhangwu,阜新市,阜新市,辽宁,辽宁
溆浦县,溆浦,xupuxian,xupu,怀化市,怀化市,湖南,湖南
安图县,安图,antuxian,antu,延边朝鲜族自治州,延边朝鲜族自治州,吉林,吉林
临桂区,临桂,linguixian,lingui,桂林市,桂林市,广西,广西
武鸣区,武鸣,wumingxian,wuming,南宁市,南宁市,广西,广西
凤凰县,凤凰,fenghuangxian,fenghuang,湘西土家族苗族自治州,湘西土家族苗族自治州,湖南,湖南
渝中区,渝中,yuzhongqu,yuzhong,重庆市,重庆市,重庆,重庆
什邡,什邡,shifang,shifang,德阳市,德阳市,四川,四川
兰考县,兰考,lankaoxian,lankao,开封市,开封市,河南,河南
张北县,张北,zhangbeixian,zhangbei,张家口市,张家口市,河北,河北
巫山县,巫山,wushanxian,wushan,重庆市,重庆市,重庆,重庆
昌黎县,昌黎,changlixian,changli,秦皇岛市,秦皇岛市,河北,河北
资源县,资源,ziyuanxian,ziyuan,桂林市,桂林市,广西,广西
武都区,武都,wudouqu,wudou,陇南市,陇南市,甘肃,甘肃
麟游县,麟游,linyouxian,linyou,宝鸡市,宝鸡市,陕西,陕西
水富县,水富,shuifuxian,shuifu,昭通市,昭通市,云南,云南
大荔县,大荔,dalixian,dali,渭南市,渭南市,陕西,陕西
保康县,保康,baokangxian,baokang,襄阳市,襄阳市,湖北,湖北
金州区,金州,jinzhouqu,jinzhou,大连市,大连市,辽宁,辽宁
玉田县,玉田,yutianxian,yutian,唐山市,唐山市,河北,河北
宽城满族自治县,宽城满族,kuanchengmanzuzizhixian,kuanchengmanzu,承德市,承德市,河北,河北
耒阳市,耒阳,leiyangshi,leiyang,衡阳市,衡阳市,湖南,湖南
前进区,前进,qianjinqu,qianjin,佳木斯市,佳木斯市,黑龙江,黑龙江
容城县,容城,rongchengxian,rongcheng,保定市,保定市,河北,河北
双辽市,双辽,shuangliaoshi,shuangliao,四平市,四平市,吉林,吉林
大洼区,大洼,dawaxian,dawa,盘锦市,盘锦市,辽宁,辽宁
涉县,涉县,shexian,shexian,邯郸市,邯郸市,河北,河北
银州区,银州,yinzhouqu,yinzhou,铁岭市,铁岭市,辽宁,辽宁
皇姑区,皇姑,huangguqu,huanggu,沈阳市,沈阳市,辽宁,辽宁
双台子区,双台子,shuangtaiziqu,shuangtaizi,盘锦市,盘锦市,辽宁,辽宁
开鲁县,开鲁,kailuxian,kailu,通辽市,通辽市,内蒙古,内蒙古
东辽县,东辽,dongliaoxian,dongliao,"辽源市 ","辽源市 ",吉林,吉林
科尔沁右翼前旗,科尔沁右翼前旗,keerqinyouyiqianqi,keerqinyouyiqianqi,兴安盟,兴安盟,内蒙古,内蒙古
市北区,市北,shibeiqu,shibei,青岛市,青岛市,山东,山东
凌海市,凌海,linghaishi,linghai,锦州市,锦州市,辽宁,辽宁
黑山县,黑山,heishanxian,heishan,锦州市,锦州市,辽宁,辽宁
袁州区,袁州,yuanzhouqu,yuanzhou,宜春市,宜春市,江西,江西
白玉县,白玉,baiyuxian,baiyu,甘孜藏族自治州,甘孜藏族自治州,四川,四川
左权县,左权,zuoquanxian,zuoquan,晋中市,晋中市,山西,山西
龙山区,龙山,longshanqu,longshan,辽源市,辽源市,吉林,吉林
崇州市,崇州,chongzhoushi,chongzhou,成都市,成都市,四川,四川
麒麟区,麒麟,qilinqu,qilin,曲靖市,曲靖市,云南,云南
北镇市,北镇,beizhenshi,beizhen,锦州市,锦州市,辽宁,辽宁
东莞市,东莞,dongwanshi,dongwan,东莞市,东莞市,广东,广东
安福县,安福,anfuxian,anfu,吉安市,吉安市,江西,江西
南岗区,南岗,nangangqu,nangang,哈尔滨市,哈尔滨市,黑龙江,黑龙江
兰西县,兰西,lanxixian,lanxi,绥化市,绥化市,黑龙江,黑龙江
桐梓县,桐梓,tongzixian,tongzi,遵义市,遵义市,贵州,贵州
睢县,睢县,suixian,suixian,商丘市,商丘市,河南,河南
庐山市,庐山,lushanshi,lushan,九江市,九江市,江西,江西
连江县,连江,lianjiangxian,lianjiang,福州市,福州市,福建,福建
城口县,城口,chengkouxian,chengkou,重庆市,重庆市,重庆,重庆
阿城区,阿城,achengqu,acheng,哈尔滨市,哈尔滨市,黑龙江,黑龙江
谢通门县,谢通门,xietongmenxian,xietongmen,日喀则市,日喀则市,西藏,西藏
梅列区,梅列,meiliequ,meilie,三明市,三明市,福建,福建
隆子县,隆子,longzixian,longzi,山南市,山南市,西藏,西藏
