zstate1,zcity3,推理,省,市全称,市简称,区全称,区简称,翻译过程,province,province_clean,city,cityshort,town,townshort,provinceshortname,provincename,cityname,cityshortname,citypinyin,cityshortpinyin,provincepinyin,11
hebei,xiangdu district,hebei指河北，无需修改。xiangdu district指河北邯郸市的涉县，涉县是县级行政单位，所属地级行政区是邯郸市，全称邯郸市，简称邯郸。涉县全称涉县，简称涉县，填充到区。,河北,邯郸市,邯郸,涉县,涉县,河北拼音hebei，邯郸市拼音handanshi，邯郸拼音handan，涉县拼音shexian，涉县拼音shexian,hebei,hebei,handanshi,handan,shexian,shexian,河北省,河北,邯郸市,邯郸,handanshi,Handan,Hebei,
hebei,fengfeng mining district,hebei指河北，全称河北省，简称河北。fengfeng mining district指河北邯郸市的峰峰矿区，邯郸市全称邯郸市，简称邯郸。峰峰矿区全称峰峰矿区，简称峰峰,河北,邯郸市,邯郸,峰峰矿区,峰峰,,hebei,hebei,handanshi,handan,fengfeng kuangqu,fengfeng,河北省,河北,邯郸市,邯郸,handanshi,Handan,Hebei,
hebei,daming,hebei指河北，无需修改。daming指河北的大名县，大名县是县级行政区，所属地级行政区是邯郸市，全称邯郸市，简称邯郸。大名县全称大名县，简称大名，填充到区。,河北,邯郸市,邯郸,大名县,大名,,hebei,hebei,handanshi,handan,damingxian,daming,河北省,河北,邯郸市,邯郸,handanshi,Handan,Hebei,
hebei,ci county,hebei是指河北，符合格式无需修改。ci county是指河北磁县，磁县是县，所属地级行政区是邯郸市，全称邯郸市，简称邯郸。磁县全称磁县，简称磁，填充到区。,河北,邯郸市,邯郸,磁县,磁,,hebei,hebei,handanshi,handan,cixian,ci,河北省,河北,邯郸市,邯郸,handanshi,Handan,Hebei,
zhejiang,qiantang district,zhejiang指浙江，无需修改。qiantang district指浙江杭州市的钱塘区，所属地级行政是杭州市，全称杭州市，简称杭州。钱塘区全称钱塘区，简称钱塘,浙江,杭州市,杭州,钱塘区,钱塘,浙江拼音zhejiang，杭州市拼音hangzhoushi，杭州拼音hangzhou，钱塘区拼音qiantangqu，钱塘拼音qiantang,zhejiang,zhejiang,hangzhoushi,hangzhou,qiantangqu,qiantang,浙江省,浙江,杭州市,杭州,hangzhoushi,Hangzhou,Zhejiang,
zhejiang,chun an county,zhejiang指浙江，无需修改。chun an county指浙江杭州的淳安县，所属地级行政是杭州市，全称杭州市，简称杭州。淳安县全称淳安县，简称淳安。,浙江,杭州市,杭州,淳安县,淳安,,zhejiang,zhejiang,hangzhoushi,hangzhou,chun'anxian,chun'an,浙江省,浙江,杭州市,杭州,hangzhoushi,Hangzhou,Zhejiang,
zhejiang,hangzhou,zhejiang指浙江省，全称浙江省，简称浙江。hangzhou指浙江的杭州市，杭州市是地级行政区，全称杭州市，简称杭州。输入没有提供地区名，填充为null。,浙江省,杭州市,杭州,null,null,,zhejiangsheng,zhejiangsheng,hangzhou shi,hangzhou,null,null,浙江省,浙江,杭州市,杭州,hangzhoushi,Hangzhou,Zhejiang,
shaanxi,yang county,shaanxi指陕西，无需修改。yang county指陕西的洋县，所属地级行政区是汉中市，全称汉中市，简称汉中。洋县全称洋县，简称洋,陕西,汉中市,汉中,洋县,洋,,shanxi,shanxi,hanzhongshi,hanzhong,yangxian,yang,陕西省,陕西,汉中市,汉中,hanzhongshi,Hanzhong,Shaanxi,
guangxi zhuang,bama yaozu aut county,guangxi zhuang指广西壮族自治区，全称应规范为广西壮族自治区，无需修改。bama yaozu aut county指广西壮族自治区河池市的巴马瑶族自治县，所属地级行政是河池市，全称河池市，简称河池。巴马瑶族自治县全称巴马瑶族自治县，简称巴马,广西壮族自治区,河池市,河池,巴马瑶族自治县,巴马,广西壮族自治区拼音guangxizhuangzuzizhiqu，河池市拼音hechishi，河池拼音hechi，巴马瑶族自治县拼音bamayaozuzizhixian，巴马拼音bama,guangxizhuangzuzizhiqu,guangxi,hechishi,hechi,bamayaozuzizhixian,bama,广西省,广西,河池市,河池,hechishi,Hechi,Guangxi,
guangxi zhuang,du an yaozu aut county,guangxi zhuang指广西壮族自治区，无需修改。du an yaozu aut county指广西的都安瑶族自治县，所属地级行政区是河池市，全称河池市，简称河池。都安瑶族自治县全称都安瑶族自治县，简称都安，填充到区。,广西壮族自治区,河池市,河池,都安瑶族自治县,都安,广西壮族自治区拼音guangxizhuangzuzizhiqu，河池市拼音hechishi，河池拼音hechi，都安瑶族自治县拼音duanyaozuzizhixian，都安拼音duan,guangxizhuangzuzizhiqu,guangxi,hechishi,hechi,duanyaozuzizhixian,duan,广西省,广西,河池市,河池,hechishi,Hechi,Guangxi,
guangxi zhuang,dahua yaozu aut county,guangxi zhuang指广西壮族自治区，无需修改。dahua yaozu aut county指广西河池的大化瑶族自治县，所属地级行政区是河池市，全称河池市，简称河池。大化瑶族自治县全称大化瑶族自治县，简称大化，填充到区。,广西壮族自治区,河池市,河池,大化瑶族自治县,大化,广西壮族自治区拼音guangxizhuangzuzizhiqu，河池市拼音hechishi，河池拼音hechi，大化瑶族自治县拼音dahuayaozuzizhixian，大化拼音dahua,guangxizhuangzuzizhiqu,guangxi,hechishi,hechi,dahuayaozuzizhixian,dahua,广西省,广西,河池市,河池,hechishi,Hechi,Guangxi,
heilongjiang,sairt district,heilongjiang指黑龙江，无需修改。sairt district指黑龙江黑河市的爱辉区，所属地级行政是黑河市，全称黑河市，简称黑河。爱辉区全称爱辉区，简称爱辉,黑龙江,黑河市,黑河,爱辉区,爱辉,黑龙江拼音heilongjiang，黑河市拼音heiheshi，黑河拼音heihe，爱辉区拼音aihuiqu，爱辉拼音aihui,heilongjiang,heilongjiang,heiheshi,heihe,aihuiqu,aihui,黑龙江省,黑龙江,黑河市,黑河,heiheshi,Heihe,Heilongjiang,
hebei,jing county,hebei指河北，无需修改。jing county指河北衡水的景县，所属地级行政区是衡水市，全称衡水市，简称衡水。景县全称景县，简称景,河北,衡水市,衡水,景县,景,,hebei,hebei,hengshuishi,hengshui,jingxian,jing,河北省,河北,衡水市,衡水,hengshuishi,Hengshui,Hebei,
hunan,zhengxiang subdistrict,hunan指湖南省，全称湖南省，简称湖南。zhengxiang subdistrict指湖南衡阳市的蒸湘区，所属地级行政是衡阳市，全称衡阳市，简称衡阳。蒸湘区全称蒸湘区，简称蒸湘,湖南,衡阳市,衡阳,蒸湘区,蒸湘,,hunan,hunan,hengyangshi,hengyang,zhengxiangqu,zhengxiang,湖南省,湖南,衡阳市,衡阳,hengyangshi,Hengyang,Hunan,
shandong,cao county,shandong指山东，无需修改。cao county指山东菏泽的曹县，所属地级行政区是菏泽市，全称菏泽市，简称菏泽。曹县全称曹县，简称曹,山东,菏泽市,菏泽,曹县,曹,,shandong,shandong,hezeshi,heze,caoxian,cao,山东省,山东,菏泽市,菏泽,hezeshi,Heze,Shandong,
guangxi zhuang,fuchuan yaozu aut county,guangxi zhuang指广西壮族自治区，全称广西壮族自治区，简称广西。fuchuan yaozu aut county指广西壮族自治区贺州市富川瑶族自治县，所属地级行政区是贺州市，全称贺州市，简称贺州。富川瑶族自治县全称富川瑶族自治县，简称富川,广西壮族自治区,贺州市,贺州,富川瑶族自治县,富川,,guangxi zhuangzu zizhiqu,guangxi,hezhou shi,hezhou,fuchuan yaozu zizhixian,fuchuan,广西省,广西,贺州市,贺州,hezhoushi,Hezhou,Guangxi,
yunnan,mile city,yunnan指云南，无需修改。mile city指云南的弥勒市，弥勒市是县级市，所属地级行政区是红河哈尼族彝族自治州，全称红河哈尼族彝族自治州，简称红河。弥勒市全称弥勒市，简称弥勒,云南,红河哈尼族彝族自治州,红河,弥勒市,弥勒,,yun'nan,yun'nan,honghe hani zu yizu zizhizhou,honghe,mile shi,mile,云南省,云南,红河哈尼族彝族自治州,红河,honghehanizuyizuzizhizhou,Honghe,Yunnan,
yunnan,hekou yaozu aut county,yunnan指云南，全称云南省，简称云南。hekou yaozu aut county指云南河口瑶族自治县，河口瑶族自治县是县级行政区，所属地级行政区是红河哈尼族彝族自治州，红河哈尼族彝族自治州全称红河哈尼族彝族自治州，简称红河。河口瑶族自治县全称河口瑶族自治县，简称河口,云南,红河哈尼族彝族自治州,红河,河口瑶族自治县,河口,,yunnan,yunnan,honghe hani zu yizu zizhizhou,honghe,hekou yaozu zizhixian,hekou,云南省,云南,红河哈尼族彝族自治州,红河,honghehanizuyizuzizhizhou,Honghe,Yunnan,
yunnan,jinping aut county,yunnan指云南，无需修改。jinping aut county指云南红河哈尼族彝族自治州的金平苗族瑶族傣族自治县，所属地级行政区是红河哈尼族彝族自治州，全称红河哈尼族彝族自治州，简称红河。金平苗族瑶族傣族自治县全称金平苗族瑶族傣族自治县，简称金平,云南,红河哈尼族彝族自治州,红河,金平苗族瑶族傣族自治县,金平,,yun nan,yunnan,hong he ha ni zu yi zu zi zhi zhou,hong he,jin ping miao zu yao zu dai zu zi zhi xian,jin ping,云南省,云南,红河哈尼族彝族自治州,红河,honghehanizuyizuzizhizhou,Honghe,Yunnan,
yunnan,lüchun county,yunnan指云南，无需修改。lüchun county指云南的绿春县，绿春县所属地级行政区是红河哈尼族彝族自治州，全称红河哈尼族彝族自治州，简称红河。绿春县全称绿春县，简称绿春,云南,红河哈尼族彝族自治州,红河,绿春县,绿春,,yunnan,yunnan,honghehanizuyizuzhizhou,honghe,lvchunxian,lvchun,云南省,云南,红河哈尼族彝族自治州,红河,honghehanizuyizuzizhizhou,Honghe,Yunnan,
yunnan,ninger hanizu yizu aut county,yunnan指云南，无需修改。ninger hanizu yizu aut county指云南红河哈尼族彝族自治州的弥勒市，所属地级行政区是红河哈尼族彝族自治州，全称红河哈尼族彝族自治州，简称红河。弥勒市全称弥勒市，简称弥勒,云南,红河哈尼族彝族自治州,红河,弥勒市,弥勒,,yunnan,yunnan,honghe hani zu yizu zizhizhou,honghe,mile shi,mile,云南省,云南,红河哈尼族彝族自治州,红河,honghehanizuyizuzizhizhou,Honghe,Yunnan,
yunnan,hekou town,yunnan指云南，无需修改。hekou town指云南河口瑶族自治县的河口镇，所属地级行政是红河哈尼族彝族自治州，全称红河哈尼族彝族自治州，简称红河。河口镇所在县即河口瑶族自治县，全称河口瑶族自治县，简称河口,云南,红河哈尼族彝族自治州,红河,河口瑶族自治县,河口,,yun nan,yunnan,honghe hanizu yizu zizhizhou,honghe,hekou yaozu zizhixian,hekou,云南省,云南,红河哈尼族彝族自治州,红河,honghehanizuyizuzizhizhou,Honghe,Yunnan,
hunan,jingzhou miao and dong autonomous county,hunan指湖南，无需修改。jingzhou miao and dong autonomous county指湖南的靖州苗族侗族自治县，所属地级行政区是怀化市，全称怀化市，简称怀化。靖州苗族侗族自治县全称靖州苗族侗族自治县，简称靖州,湖南,怀化市,怀化,靖州苗族侗族自治县,靖州,,hunan,hunan,huaihuashi,huaihua,jingzhoumiaozudongzuzizhixian,jingzhou,湖南省,湖南,怀化市,怀化,huaihuashi,Huaihua,Hunan,
hunan,tongdao dongzu aut county,hunan指湖南，无需修改。tongdao dongzu aut county指湖南怀化市的通道侗族自治县，所属地级行政是怀化市，全称怀化市，简称怀化。通道侗族自治县全称通道侗族自治县，简称通道,湖南,怀化市,怀化,通道侗族自治县,通道,,hunan,hunan,huaihuashi,huaihua,tongdao dongzuzi zhixian,tongdao,湖南省,湖南,怀化市,怀化,huaihuashi,Huaihua,Hunan,
hubei,hongan county,hubei指湖北，无需修改。hongan county指湖北黄冈市的红安县，所属地级行政是黄冈市，全称黄冈市，简称黄冈。红安县全称红安县，简称红安,湖北,黄冈市,黄冈,红安县,红安,湖北拼音hubei，黄冈市拼音huanggangshi，黄冈拼音huanggang，红安县拼音honganxian，红安拼音hongan,hubei,hubei,huanggangshi,huanggang,honganxian,hongan,湖北省,湖北,黄冈市,黄冈,huanggangshi,Huanggang,Hubei,
qinghai,huangnan tibetan autonomous prefecture,qinghai指青海，无需修改。huangnan tibetan autonomous prefecture是青海的黄南藏族自治州，是地级行政区，全称黄南藏族自治州，简称黄南。输入没有提供地区名，填充为null。,青海,黄南藏族自治州,黄南,null,null,,qinghai,qinghai,huangnanzangzuzizhizhou,huangnan,null,null,青海省,青海,黄南藏族自治州,黄南,huangnancangzuzizhizhou,Huangnan,Qinghai,
anhui,she county,anhui指安徽，无需修改。she county指安徽黄山的歙县，所属地级行政区是黄山市，全称黄山市，简称黄山。歙县全称歙县，简称歙,安徽,黄山市,黄山,歙县,歙,,anhui,anhui,huangshan shi,huangshan,shexian,she,安徽省,安徽,黄山市,黄山,huangshanshi,Huangshan,Anhui,
inner mongolia,togtoh,inner mongolia指内蒙古自治区，全称内蒙古自治区，简称内蒙古。togtoh指内蒙古的托克托县，所属地级行政区是呼和浩特市，全称呼和浩特市，简称呼市。托克托县全称托克托县，简称托县,内蒙古自治区,呼和浩特市,呼市,托克托县,托县,,neimenggu zizhiqu,inner mongolia,huhehaoteshi,hushi,tuoketuoxian,tuoxian,内蒙古自治区,内蒙古,呼和浩特市,呼和浩特,huhehaoteshi,Hohhot,Inner Mongolia,
inner mongolia,tumd zuoqi,inner mongolia指内蒙古自治区，无需修改。tumd zuoqi指内蒙古自治区的土默特左旗，土默特左旗是县级行政区，所属地级行政区是呼和浩特市，全称呼和浩特市，简称呼和浩特。土默特左旗全称土默特左旗，简称土左旗,内蒙古自治区,呼和浩特市,呼和浩特,土默特左旗,土左旗,,neimengguzizhiqu,inner mongolia,huhehaoteshi,huhehaote,tumotezuoqi,tu zuoqi,内蒙古自治区,内蒙古,呼和浩特市,呼和浩特,huhehaoteshi,Hohhot,Inner Mongolia,
inner mongolia,horinger,inner mongolia指内蒙古自治区，全称内蒙古自治区，简称内蒙古。horinger指内蒙古自治区呼和浩特市的和林格尔县，所属地级行政是呼和浩特市，全称呼和浩特市，简称呼和浩特。和林格尔县全称和林格尔县，简称和林。,内蒙古自治区,呼和浩特市,呼和浩特,和林格尔县,和林,,neimengguzizhiqu,inner mongolia,huhehaoteshi,huhehaote,helingeerxian,helin,内蒙古自治区,内蒙古,呼和浩特市,呼和浩特,huhehaoteshi,Hohhot,Inner Mongolia,
inner mongolia,xincheng district,inner mongolia指内蒙古自治区，全称内蒙古自治区，简称内蒙古。xincheng district指内蒙古自治区呼和浩特市的新城区，所属地级行政区是呼和浩特市，全称呼和浩特市，简称呼和浩特。新城区全称新城区，简称新城,内蒙古自治区,呼和浩特市,呼和浩特,新城区,新城,,neimengguzizhiqu,inner mongolia,huhehaoteshi,huhehaote,xinchengqu,xincheng,内蒙古自治区,内蒙古,呼和浩特市,呼和浩特,huhehaoteshi,Hohhot,Inner Mongolia,
inner mongolia,ewenkizu zizhiqi,inner mongolia应改为neimenggu zizhiqu指内蒙古自治区，无需修改。ewenkizu zizhiqi指内蒙古鄂温克族自治旗，所属地级行政是呼伦贝尔市，全称呼伦贝尔市，简称呼伦贝尔。鄂温克族自治旗全称鄂温克族自治旗，简称鄂温克旗,内蒙古自治区,呼伦贝尔市,呼伦贝尔,鄂温克族自治旗,鄂温克旗,,neimengguzizhiqu,inner mongolia,hulunbeiershi,hulunbeier,ewenkekuzuizhizhiqi,ewenkqi,内蒙古自治区,内蒙古,呼伦贝尔市,呼伦贝尔,hulunbeiershi,Hulunbuir,Inner Mongolia,
inner mongolia,oroqen zizhiqi,inner mongolia指内蒙古自治区，全称内蒙古自治区，简称内蒙古。oroqen zizhiqi指内蒙古的鄂伦春自治旗，鄂伦春自治旗是县级行政区，所属地级行政区是呼伦贝尔市，呼伦贝尔市全称呼伦贝尔市，简称呼伦贝尔。鄂伦春自治旗全称鄂伦春自治旗，简称鄂伦春旗,内蒙古,呼伦贝尔市,呼伦贝尔,鄂伦春自治旗,鄂伦春旗,,neimenggu,inner mongolia,hulunbeiershi,hulunbeier,elunchun zizhiqi,elunchunqi,内蒙古自治区,内蒙古,呼伦贝尔市,呼伦贝尔,hulunbeiershi,Hulunbuir,Inner Mongolia,
inner mongolia,ergun city,inner mongolia指内蒙古自治区，无需修改。ergun city指内蒙古自治区呼伦贝尔市的额尔古纳市，所属地级行政区是呼伦贝尔市，全称呼伦贝尔市，简称呼伦贝尔。额尔古纳市全称额尔古纳市，简称额尔古纳,内蒙古自治区,呼伦贝尔市,呼伦贝尔,额尔古纳市,额尔古纳,,nei meng gu zi zhi qu,inner mongolia,hu lun bei er shi,hu lun bei er,e er gu na shi,e er gu na,内蒙古自治区,内蒙古,呼伦贝尔市,呼伦贝尔,hulunbeiershi,Hulunbuir,Inner Mongolia,
jiangxi,lianxi district,jiangxi指江西，符合格式无需修改。lianxi district在江西指吉安市的莲溪区，所属地级行政区是吉安市，全称吉安市，简称吉安。莲溪区全称莲溪区，简称莲溪。,江西,吉安市,吉安,莲溪区,莲溪,江西拼音jiangxi，吉安市拼音jian shi，吉安拼音jian，莲溪区拼音lianxiqu，莲溪拼音lianxi,jiangxi,jiangxi,jian shi,jian,lianxiqu,lianxi,江西省,江西,吉安市,吉安,jianshi,jian,Jiangxi,
jiangxi,jinggangshan city,jiangxi指江西，无需修改。jinggangshan city指江西的井冈山市，井冈山市是县级市，所属地级行政区是吉安市，全称吉安市，简称吉安。井冈山市全称井冈山市，简称井冈山，填充到区。,江西,吉安市,吉安,井冈山市,井冈山,,jiangxi,jiangxi,jiananshi,jian,jinggangshanshi,jinggangshan,江西省,江西,吉安市,吉安,jianshi,jian,Jiangxi,
henan,wen county,henan指河南，无需修改。wen county指河南的温县，所属地级行政是焦作市，全称焦作市，简称焦作。温县全称温县，简称温,河南,焦作市,焦作,温县,温,,henan,henan,jiaozuoshi,jiaozuo,wenxian,wen,河南省,河南,焦作市,焦作,jiaozuoshi,Jiaozuo,Henan,
zhejiang,puyuan town,zhejiang指浙江省，全称浙江省，简称浙江。puyuan town指浙江嘉兴市的濮院镇，所属地级行政是嘉兴市，全称嘉兴市，简称嘉兴。濮院镇全称濮院镇，处理后填充到区为濮院，简称濮院,浙江,嘉兴市,嘉兴,濮院镇,濮院,,zhejiang,zhejiang,jiaxingshi,jiaxing,puyuanzhen,puyuan,浙江省,浙江,嘉兴市,嘉兴,jiaxingshi,Jiaxing,Zhejiang,
jiangsu,jiashan county,jiangsu指江苏，符合格式无需修改。jiashan county指江苏省嘉兴市的嘉善县，所属地级行政区是嘉兴市，全称嘉兴市，简称嘉兴。嘉善县全称嘉善县，简称嘉善,江苏,嘉兴市,嘉兴,嘉善县,嘉善,,jiangsu,jiangsu,jiaxingshi,jiaxing,jiashanxian,jiashan,浙江省,浙江,嘉兴市,嘉兴,jiaxingshi,Jiaxing,Zhejiang,
guangdong,hepo town,guangdong指广东，无需修改。hepo town指广东揭阳市的河婆街道，所属地级行政是揭阳市，全称揭阳市，简称揭阳。河婆街道所在的揭西县，全称揭西县，简称揭西，填充到区。,广东,揭阳市,揭阳,揭西县,揭西,,guangdong,guangdong,jieyangshi,jieyang,jiexixian,jiexi,广东省,广东,揭阳市,揭阳,jieyangshi,Jieyang,Guangdong,
shandong,lixia district,shandong指山东，无需修改。lixia district指山东济南市的历下区，所属地级行政区是济南市，全称济南市，简称济南。历下区全称历下区，简称历下,山东,济南市,济南,历下区,历下,,shandong,shandong,jinanshi,jinan,lixiaqu,lixia,山东省,山东,济南市,济南,jinanshi,Jinan,Shandong,
hubei,gongan county,hubei指湖北，无需修改。gongan county指湖北荆州的公安县，所属地级行政是荆州市，全称荆州市，简称荆州。公安县全称公安县，简称公安,湖北,荆州市,荆州,公安县,公安,湖北拼音hubei，荆州市拼音jingzhoushi，荆州拼音jingzhou，公安县拼音gong'anxian，公安拼音gong'an,hubei,hubei,jingzhoushi,jingzhou,gong'anxian,gong'an,湖北省,湖北,荆州市,荆州,jingzhoushi,Jingzhou,Hubei,
zhejiang,suoqian town,zhejiang指浙江，无需修改。suoqian town指浙江金华市的琐园村，所属地级行政是金华市，全称金华市，简称金华。琐园村所在区为金东区，全称金东区，简称金东,浙江,金华市,金华,金东区,金东,,zhejiang,zhejiang,jinhuaishi,jinhua,jindongqu,jindong,浙江省,浙江,金华市,金华,jinhuashi,Jinhua,Zhejiang,
shanxi,qi county,shanxi指山西，无需修改。qi county指山西晋中市的祁县，所属地级行政是晋中市，全称晋中市，简称晋中。祁县全称祁县，简称祁县,山西,晋中市,晋中,祁县,祁县,,shanxi,shanxi,jinzhongshi,jinzhong,qixian,qixian,山西省,山西,晋中市,晋中,jinzhongshi,Jinzhong,Shanxi,
jiangxi,de an county,jiangxi指江西，无需修改。de an county指江西九江市的德安县，所属地级行政是九江市，全称九江市，简称九江。德安县全称德安县，简称德安，填充到区。,江西,九江市,九江,德安县,德安,江西拼音jiangxi，九江市拼音jiujiangshi，九江拼音jiujiang，德安县拼音deanxian，德安拼音dean,jiangxi,jiangxi,jiujiangshi,jiujiang,deanxian,dean,江西省,江西,九江市,九江,jiujiangshi,Jiujiang,Jiangxi,
jiangxi,changjiang district,jiangxi指江西，无需修改。changjiang district指江西九江的浔阳区，全称浔阳区，简称浔阳，所属地级行政是九江市，全称九江市，简称九江。原输入的区名有误，应为浔阳区,江西,九江市,九江,浔阳区,浔阳,,jiangxi,jiangxi,jiujiangshi,jiujiang,xunyangqu,xunyang,江西省,江西,九江市,九江,jiujiangshi,Jiujiang,Jiangxi,
henan,shunhe huizu district,henan指河南，无需修改。shunhe huizu district指河南开封的顺河回族区，所属地级行政是开封市，全称开封市，简称开封。顺河回族区全称顺河回族区，简称顺河,河南,开封市,开封,顺河回族区,顺河,,henan,henan,kaifengshi,kaifeng,shunhehuizuqu,shunhe,河南省,河南,开封市,开封,kaifengshi,Kaifeng,Henan,
xinjiang uygur,akto county,xinjiang uygur指新疆维吾尔自治区，无需修改。akto county指新疆维吾尔自治区克孜勒苏柯尔克孜自治州的阿克陶县，所属地级行政区是克孜勒苏柯尔克孜自治州，全称克孜勒苏柯尔克孜自治州，简称克州。阿克陶县全称阿克陶县，简称阿克陶,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,克州,阿克陶县,阿克陶,,xin jiang wei wu er zi zhi qu,xinjiang,ke zi le su ke er ke zi zi zhi zhou,ke zhou,a ke tao xian,a ke tao,新疆维吾尔自治区,新疆,克孜勒苏柯尔克孜自治州,克孜勒苏,kezilesukeerkezizizhizhou,Kizilsu,Xinjiang,
yunnan,guandu district,yunnan指云南，无需修改。guandu district指云南昆明的官渡区，所属地级行政区是昆明市，全称昆明市，简称昆明。官渡区全称官渡区，简称官渡,云南,昆明市,昆明,官渡区,官渡,,yunnan,yunnan,kunmingshi,kunming,guandouqu,guandou,云南省,云南,昆明市,昆明,kunmingshi,Kunming,Yunnan,
yunnan,shilin yi autonomous county,yunnan指云南，无需修改。shilin yi autonomous county指云南昆明的石林彝族自治县，所属地级行政区是昆明市，全称昆明市，简称昆明。石林彝族自治县全称石林彝族自治县，简称石林,云南,昆明市,昆明,石林彝族自治县,石林,,yunnan,yunnan,kunmingshi,kunming,shilin yizu zizhixian,shilin,云南省,云南,昆明市,昆明,kunmingshi,Kunming,Yunnan,
guangxi zhuang,jinxiu yaozu aut county,guangxi zhuang指广西壮族自治区，全称广西壮族自治区，简称广西。jinxiu yaozu aut county指广西的金秀瑶族自治县，所属地级行政区是来宾市，全称来宾市，简称来宾。金秀瑶族自治县全称金秀瑶族自治县，简称金秀,广西壮族自治区,来宾市,来宾,金秀瑶族自治县,金秀,,guangxizhuangzu zizhiqu,guangxi,laibinshi,laibin,jinxiu yaozu zizhixian,jinxiu,广西省,广西,来宾市,来宾,laibinshi,Laibin,Guangxi,
hebei,dachang hui autonomous county,hebei指河北，无需修改。dachang hui autonomous county指河北的大厂回族自治县，所属地级行政区是廊坊市，全称廊坊市，简称廊坊。大厂回族自治县全称大厂回族自治县，简称大厂，填充到区。,河北,廊坊市,廊坊,大厂回族自治县,大厂,河北拼音hebei，廊坊市拼音langfangshi，廊坊拼音langfang，大厂回族自治县拼音dachanghuizuzizhixian，大厂拼音dachang,hebei,hebei,langfangshi,langfang,dachanghuizuzizhixian,dachang,河北省,河北,廊坊市,廊坊,langfangshi,Langfang,Hebei,
hebei,dacheng county,hebei指河北省，全称河北省，简称河北。dacheng county指河北省廊坊市的大城县，所属地级行政区是廊坊市，全称廊坊市，简称廊坊。大城县全称大城县，简称大城,河北省,廊坊市,廊坊,大城县,大城,,hebei sheng,hebeisheng,langfangshi,langfang,dachengxian,dacheng,河北省,河北,廊坊市,廊坊,langfangshi,Langfang,Hebei,
hebei,guangyang district,hebei指河北，无需修改。guangyang district指河北廊坊市的广阳区，廊坊市是地级行政区，全称廊坊市，简称廊坊。广阳区全称广阳区，简称广阳,河北,廊坊市,廊坊,广阳区,广阳,,hebei,hebei,langfangshi,langfang,guangyangqu,guangyang,河北省,河北,廊坊市,廊坊,langfangshi,Langfang,Hebei,
tibet,doilungdêqên district,tibet指西藏自治区，全称西藏自治区，简称西藏。doilungdêqên district指西藏自治区拉萨市堆龙德庆区，所属地级行政是拉萨市，全称拉萨市，简称拉萨。堆龙德庆区全称堆龙德庆区，简称堆龙德庆,西藏自治区,拉萨市,拉萨,堆龙德庆区,堆龙德庆,,xizang zizhiqu,tibet,lasa shi,lasa,duilongdeqing qu,duilongdeqing,西藏自治区,西藏,拉萨市,拉萨,lasashi,Lhasa,Tibet,
tibet,qüxü county,tibet指西藏，无需修改。qüxü county指西藏的曲水县，曲水县是县级市，所属地级行政区是拉萨市，全称拉萨市，简称拉萨。曲水县全称曲水县，简称曲水，填充到区。,西藏,拉萨市,拉萨,曲水县,曲水,,xizang,tibet,lasa shi,lasa,qushuixian,qushui,西藏自治区,西藏,拉萨市,拉萨,lasashi,Lhasa,Tibet,
sichuan,mabian yi autonomous county,sichuan指四川，无需修改。mabian yi autonomous county指四川乐山的马边彝族自治县，所属地级行政区是乐山市，全称乐山市，简称乐山。马边彝族自治县全称马边彝族自治县，简称马边,四川,乐山市,乐山,马边彝族自治县,马边,四川拼音sichuan，乐山市拼音leshan shi，乐山拼音leshan，马边彝族自治县拼音mabianyizuzizhixian，马边拼音mabian,sichuan,sichuan,leshan shi,leshan,mabianyizuzizhixian,mabian,四川省,四川,乐山市,乐山,leshanshi,Leshan,Sichuan,
sichuan,emeishan city,sichuan指四川，无需修改。emeishan city指四川的峨眉山市，峨眉山市是县级市，所属地级行政区是乐山市，全称乐山市，简称乐山。峨眉山市全称峨眉山市，简称峨眉，填充到区。,四川,乐山市,乐山,峨眉山市,峨眉,四川拼音sichuan，乐山市拼音leshan shi，乐山拼音leshan，峨眉山市拼音emeishan shi，峨眉拼音emei,sichuan,sichuan,leshan shi,leshan,emeishan shi,emei,四川省,四川,乐山市,乐山,leshanshi,Leshan,Sichuan,
sichuan,ebian yi autonomous county,sichuan指四川，无需修改。ebian yi autonomous county指四川乐山的峨边彝族自治县，峨边彝族自治县是县级市，所属地级行政区是乐山市，全称乐山市，简称乐山。峨边彝族自治县全称峨边彝族自治县，简称峨边，填充到区。,四川,乐山市,乐山,峨边彝族自治县,峨边,,sichuan,sichuan,leshanshi,leshan,ebianjiaozuzizhixian,ebian,四川省,四川,乐山市,乐山,leshanshi,Leshan,Sichuan,
shandong,donge county,shandong指山东，全称山东省，简称山东。donge county指山东聊城市的东阿县，聊城市全称聊城市，简称聊城。东阿县全称东阿县，简称东阿,山东,聊城市,聊城,东阿县,东阿,,shandong,shandong,liaochengshi,liaocheng,dongexian,donge,山东省,山东,聊城市,聊城,liaochengshi,Liaocheng,Shandong,
shandong,dong e county,shandong指山东，无需修改。dong e county指山东的东阿县，所属地级行政区是聊城市，全称聊城市，简称聊城。东阿县全称东阿县，简称东阿，填充到区。,山东,聊城市,聊城,东阿县,东阿,,shan dong,shandong,liaochengshi,liaocheng,dong'e xian,dong'e,山东省,山东,聊城市,聊城,liaochengshi,Liaocheng,Shandong,
